windspeed,Vestas.V80.2000
8.76,0.498315
8.77,0.498326
8.78,0.499281
8.79,0.500234
8.8,0.502128
8.81,0.502136
8.82,0.504026
8.83,0.504973
8.84,0.504978
8.85,0.506862
8.86,0.506866
8.87,0.508745
8.88,0.508748
8.89,0.509687
8.9,0.51156
8.91,0.51156
8.92,0.513428
8.93,0.513427
8.94,0.515291
8.95,0.515288
8.96,0.517148
8.97,0.517144
8.98,0.518998
8.99,0.519922
9,0.519916
9.01,0.521764
9.02,0.521756
9.03,0.5236
9.04,0.523591
9.05,0.524506
9.06,0.52542
9.07,0.526331
9.08,0.528163
9.09,0.528151
9.1,0.529978
9.11,0.529964
9.12,0.531787
9.13,0.531771
9.14,0.532673
9.15,0.534488
9.16,0.534471
9.17,0.536282
9.18,0.536263
9.19,0.537156
9.2,0.538048
9.21,0.538939
9.22,0.539828
9.23,0.541625
9.24,0.54251
9.25,0.542486
9.26,0.544275
9.27,0.54425
9.28,0.546035
9.29,0.546008
9.3,0.546885
9.31,0.54776
9.32,0.548633
9.33,0.550406
9.34,0.550376
9.35,0.551245
9.36,0.552112
9.37,0.553875
9.38,0.553842
9.39,0.555599
9.4,0.55646
9.41,0.556425
9.42,0.558176
9.43,0.55814
9.44,0.559885
9.45,0.559848
9.46,0.560699
9.47,0.56155
9.48,0.562398
9.49,0.564131
9.5,0.56409
9.51,0.565818
9.52,0.565777
9.53,0.567499
9.54,0.567456
9.55,0.568294
9.56,0.56913
9.57,0.569964
9.58,0.571675
9.59,0.571628
9.6,0.573334
9.61,0.573286
9.62,0.574113
9.63,0.574937
9.64,0.576631
9.65,0.577451
9.66,0.5774
9.67,0.579086
9.68,0.579033
9.69,0.580714
9.7,0.58066
9.71,0.581472
9.72,0.582281
9.73,0.58309
9.74,0.584758
9.75,0.584701
9.76,0.585504
9.77,0.586306
9.78,0.587963
9.79,0.587904
9.8,0.589556
9.81,0.589496
9.82,0.59029
9.83,0.591935
9.84,0.591872
9.85,0.593512
9.86,0.593448
9.87,0.594234
9.88,0.595018
9.89,0.5958
9.9,0.597427
9.91,0.59736
9.92,0.598981
9.93,0.598914
9.94,0.600529
9.95,0.600461
9.96,0.602071
9.97,0.602002
9.98,0.60277
9.99,0.604372
10,0.6043
10.01,0.605064
10.02,0.605825
10.03,0.607417
10.04,0.607344
10.05,0.6081
10.06,0.608855
10.07,0.610436
10.08,0.611187
10.09,0.611111
10.1,0.612684
10.11,0.612607
10.12,0.613352
10.13,0.614096
10.14,0.615659
10.15,0.616398
10.16,0.616318
10.17,0.617873
10.18,0.617792
10.19,0.618526
10.2,0.619258
10.21,0.61999
10.22,0.620719
10.23,0.622258
10.24,0.622983
10.25,0.623706
10.26,0.624428
10.27,0.624342
10.28,0.625063
10.29,0.625781
10.3,0.626497
10.31,0.627213
10.32,0.627926
10.33,0.629437
10.34,0.629348
10.35,0.630057
10.36,0.630764
10.37,0.632264
10.38,0.632174
10.39,0.632876
10.4,0.634368
10.41,0.635066
10.42,0.634973
10.43,0.635669
10.44,0.637151
